Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Moustapha Akkad,08 Jul 1977,The Message,"H.A.L. Craig, Tewfik El-Hakim, A.B. Jawdat El-Sahhar, A.B. Rahman El-Sharkawi, Mohammad Ali Maher",1976,tt0074896,8.4,Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka,1,1,1,1,1,1,6
Fritz Lang,31 Aug 1931,M,"Thea von Harbou (script), Fritz Lang (script)",1931,tt0022100,8.4,Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke,2,1,1,1,1,1,7
Fritz Lang,13 Mar 1927,Metropolis,"Thea von Harbou (screenplay), Thea von Harbou (novel)",1927,tt0017136,8.3,Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp,2,1,1,1,1,1,7
Wolfgang Petersen,10 Feb 1982,Das Boot,"Wolfgang Petersen (screenplay), Lothar G. Buchheim (novel)",1981,tt0082096,8.4,Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch,1,1,1,1,1,1,6
Asghar Farhadi,16 Mar 2011,A Separation,Asghar Farhadi,2011,tt1832382,8.4,Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini,1,1,1,1,1,1,6
Jean-Pierre Jeunet,08 Feb 2002,Amélie,"Guillaume Laurant (scenario), Jean-Pierre Jeunet (scenario), Guillaume Laurant (dialogue)",2001,tt0211915,8.4,Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta,1,1,1,1,1,1,6
Mel Gibson,24 May 1995,Braveheart,Randall Wallace,1995,tt0112573,8.4,James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo,1,1,1,1,1,1,6
Robert Mulligan,16 Mar 1963,To Kill a Mockingbird,"Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)",1962,tt0056592,8.4,Gregory Peck, John Megna, Frank Overton, Rosemary Murphy,1,1,2,1,1,1,7
William Wyler,02 Sep 1953,Roman Holiday,"Ian McLellan Hunter (screenplay), John Dighton (screenplay), Dalton Trumbo (screenplay), Dalton Trumbo (story)",1953,tt0046250,8.1,Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power,3,1,2,1,1,1,9
Sam Mendes,01 Oct 1999,American Beauty,Alan Ball,1999,tt0169547,8.4,Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley,1,1,2,1,1,1,7
Curtis Hanson,19 Sep 1997,L.A. Confidential,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)",1997,tt0119488,8.3,Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell,1,1,2,1,1,1,7
Rajkumar Hirani,25 Dec 2009,3 Idiots,"Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (story), Chetan Bhagat (novel)",2009,tt1187043,8.4,Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor,1,1,2,1,1,1,7
